date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:09	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:10%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	(from https://killerlaunch.com/c/redmountain-asia-limited/about)
12:29:10	752/752	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:11%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	(from https://killerlaunch.com/c/redmountain-asia-limited/reviews)
12:29:10	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:11%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	(from https://killerlaunch.com/c/redmountain-asia-limited/photos)
12:29:11	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:12%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	(from https://killerlaunch.com/c/redmountain-asia-limited/jobs)
12:29:12	752/752	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:12%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--338f4e8ca5699528af77e5185cc33aa0c70e0b1d/default_cover.png	(from https://killerlaunch.com/c/redmountain-asia-limited/internships)
12:29:12	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:13%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	(from https://killerlaunch.com/c/join-killerlaunch)
12:29:13	68839/68839	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Oct%202020%2006:59:14%20GMT	https://killerlaunch.com/c/join-killerlaunch/about	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/c/join-killerlaunch/about.html	(from https://killerlaunch.com/c/join-killerlaunch)
12:29:13	64663/64663	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Oct%202020%2006:59:14%20GMT	https://killerlaunch.com/c/join-killerlaunch/reviews	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/c/join-killerlaunch/reviews.html	(from https://killerlaunch.com/c/join-killerlaunch)
12:29:14	48309/48309	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Oct%202020%2006:59:15%20GMT	https://killerlaunch.com/c/join-killerlaunch/photos	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/c/join-killerlaunch/photos.html	(from https://killerlaunch.com/c/join-killerlaunch)
12:29:14	57393/57393	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Oct%202020%2006:59:15%20GMT	https://killerlaunch.com/c/join-killerlaunch/jobs	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/c/join-killerlaunch/jobs.html	(from https://killerlaunch.com/c/join-killerlaunch)
12:29:15	57568/57568	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Oct%202020%2006:59:16%20GMT	https://killerlaunch.com/c/join-killerlaunch/internships	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/c/join-killerlaunch/internships.html	(from https://killerlaunch.com/c/join-killerlaunch)
12:29:16	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:17%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	(from https://killerlaunch.com/c/join-killerlaunch/about)
12:29:16	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:17%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	(from https://killerlaunch.com/c/join-killerlaunch/reviews)
12:29:17	752/752	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:18%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	(from https://killerlaunch.com/c/join-killerlaunch/photos)
12:29:17	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:18%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	(from https://killerlaunch.com/c/join-killerlaunch/jobs)
12:29:18	595/595	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2006:59:18%20GMT	https://killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	C:/My%20Web%20Sites/Company%20Description/killerlaunch.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81035069a021119dcd00762642a2976615cfa1af/default_cover.png	(from https://killerlaunch.com/c/join-killerlaunch/internships)
